BHK,Location,Size(sq.ft),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For
3,Brookefield,1504,150000,26500,Semi Furnished,3-5 years ,Family
3,Bilekahalli,1500,200000,30000,Semi Furnished,>10 years ,Family
3,Marathahalli,1500,150000,25000,Semi Furnished,5-10 years ,All
2,Hsr Layout,1200,150000,30000,Full Furnished,5-10 years ,All
3,Electronic City Post,2070,150000,25000,Semi Furnished,5-10 years ,Family
3,Bellandur,1614,150000,28000,Semi Furnished,5-10 years ,Family
2,Panathur,979,100000,19990,Semi Furnished,3-5 years ,All
3,Ulsoor,1940,300000,40000,Full Furnished,>10 years ,All
2,Indira Nagar,1200,150000,23000,Semi Furnished,5-10 years ,All
2,Hsr Layout,900,30000,18000,Semi Furnished,>10 years ,All
3,Kaikondrahalli,1250,100000,24000,Semi Furnished,3-5 years ,All
2,Samruddi Layout,1200,150000,15000,Semi Furnished,3-5 years ,Family
3,Thubarahalli,1626,175000,27000,Semi Furnished,>10 years ,Family
1,Btm Layout,600,50000,9500,Semi Furnished,3-5 years ,Family
4,Hampi Nagar,4845,2000000,200000,Full Furnished,>10 years ,Company
1,Banashankari,700,40000,6500,UnFurnished,>10 years ,Family
1,Hsr Layout,600,75000,14000,Full Furnished,Newly Constructed,Family
1,Basvannagar Near Bus Stand,800,100000,12000,Semi Furnished,3-5 years ,Family
3,Whitefield,1748,75000,35000,Full Furnished,>10 years ,Family
2,Pulikeshi Nagar,1150,200000,21000,Semi Furnished,5-10 years ,Family
2,Hennur Gardens,930,140000,14000,Semi Furnished,1-3 years ,All
2,Padmanabhanagar,700,90000,11500,Semi Furnished,5-10 years ,Family
3,Nagavara,2566,300000,40000,Semi Furnished,5-10 years ,Family
1,Mcc Meenakshi Enclave,600,40000,8500,Semi Furnished,1-3 years ,All
1,Mcc Meenakshi Enclave,600,40000,8500,Semi Furnished,1-3 years ,All
2,Aecs Layout - D Block,1200,100000,19000,Semi Furnished,5-10 years ,All
3,Cil Layout,1164,200000,23000,Semi Furnished,5-10 years ,Family
3,Kammanahalli,1200,216000,26000,Semi Furnished,5-10 years ,All
2,Mahadevapura,1255,100000,18000,Semi Furnished,5-10 years ,All
3,Hoodi,1670,250000,25000,Semi Furnished,5-10 years ,Family
2,Kannuru,1600,80000,11900,Semi Furnished,Newly Constructed,Family
2,Doddakannelli,1350,150000,18000,Semi Furnished,3-5 years ,All
3,Hoodi,1470,200000,28000,Semi Furnished,3-5 years ,Family
3,Kada Agrahara,1333,150000,15000,Semi Furnished,5-10 years ,Family
2,Yeshwanthpur,1100,150000,25500,Semi Furnished,Newly Constructed,Family
3,Bellandur,1540,150000,33000,Semi Furnished,3-5 years ,All
2,Nagarbhavi,1100,150000,16000,Semi Furnished,3-5 years ,Family
1,Kammanahalli,650,65000,10000,Semi Furnished,5-10 years ,All
2,Hbr Layout,1200,200000,22000,Semi Furnished,Newly Constructed,All
2,Yeswanthpur,1200,100000,13000,Semi Furnished,1-3 years ,Family
3,Rk Hegde Nagar,1545,180000,30000,Full Furnished,1-3 years ,All
2,Varanasi,990,60000,12500,Semi Furnished,1-3 years ,All
2,Bhoganhalli,1150,150000,28000,Semi Furnished,1-3 years ,Family
3,Banashankari,1100,300000,25000,UnFurnished,>10 years ,Family
2,Kothanur,1182,150000,24000,Semi Furnished,3-5 years ,All
3,Vijaya Nagar,1700,300000,31000,Semi Furnished,5-10 years ,All
2,Kormangala,1000,150000,25000,Semi Furnished,>10 years ,Family
3,Btm 2nd Stage,1635,120000,25000,Semi Furnished,5-10 years ,Family
3,Lingadeeranahalli,1700,200000,25000,Semi Furnished,Newly Constructed,All
2,Kaikondrahalli,1140,100000,26000,Semi Furnished,3-5 years ,All
1,Whitefield,710,150000,20500,Full Furnished,Newly Constructed,All
3,Varthur,1791,100000,25000,Semi Furnished,Newly Constructed,All
3,Challaghatta,1550,250000,38000,Semi Furnished,5-10 years ,Family
2,India,650,50000,10000,Semi Furnished,5-10 years ,All
2,Thanisandra,1050,100000,18500,Semi Furnished,1-3 years ,All
2,Basaveshwar Nagar,1200,100000,15000,Semi Furnished,5-10 years ,Family
3,Bellandur,1479,200000,27500,Semi Furnished,>10 years ,Family
2,Kodihalli,1200,70000,20000,Semi Furnished,>10 years ,All
3,Thanisandra Main Road Bus Stop,1600,150000,22000,Semi Furnished,1-3 years ,Family
2,Varanasi,900,75000,13000,Semi Furnished,1-3 years ,Family
2,Jeevanbheemanagar,650,60000,16000,Semi Furnished,>10 years ,All
3,Mahadevapura,1350,150000,22000,Semi Furnished,5-10 years ,All
2,Btm Layout,800,75000,15500,Full Furnished,Newly Constructed,All
2,Whitefield,1250,200000,30000,Semi Furnished,1-3 years ,Family
2,Domlur,850,80000,15000,Semi Furnished,5-10 years ,All
1,Krishnarajapura,500,50000,5500,UnFurnished,5-10 years ,Family
2,Kalyan Nagar,900,60000,15500,Semi Furnished,Newly Constructed,Bachelors
1,Kalyan Nagar,600,48000,12500,Semi Furnished,Newly Constructed,Bachelors
2,Jeevan Bima Nagar,700,60000,14000,Semi Furnished,5-10 years ,All
3,Chikkagubbi,1725,200000,25000,Semi Furnished,Newly Constructed,Family
2,Whitefield,1450,72000,16250,Semi Furnished,5-10 years ,All
1,New Thippasandra,600,50000,14000,UnFurnished,>10 years ,All
2,Jogupalya,600,150000,16000,Semi Furnished,3-5 years ,All
2,Mahadevapura,600,30000,11000,Semi Furnished,Newly Constructed,Family
3,Krishnarajapura,2079,250000,41000,Semi Furnished,5-10 years ,All
3,Kaggadasapura,1400,200000,30000,Semi Furnished,5-10 years ,All
2,K R Puram,1154,100000,17000,Semi Furnished,3-5 years ,Family
2,Bellandur,1175,100000,16000,Semi Furnished,5-10 years ,All
1,Electronic City Phase 2,600,35000,8500,Semi Furnished,Newly Constructed,All
3,Kyalasanahalli,1679,280000,37000,Semi Furnished,Newly Constructed,All
3,Padmanabhanagar,1800,100000,17500,Semi Furnished,5-10 years ,All
3,Whitefield,1755,300000,29000,Semi Furnished,3-5 years ,Family
2,Maruthi Sevanagar,1500,200000,20000,Semi Furnished,>10 years ,All
2,Jakkuru,1100,170000,17000,Semi Furnished,1-3 years ,All
3,Nagasandra,1500,200000,23000,Semi Furnished,3-5 years ,Family
2,Hsr Layout,1113,100000,21000,Semi Furnished,5-10 years ,Family
2,Rt Nagar,1200,200000,22000,Semi Furnished,>10 years ,Family
3,Jayanagar,2000,180000,32000,Semi Furnished,>10 years ,Family
3,Doddakammanahalli,1275,100000,14500,Semi Furnished,5-10 years ,All
2,Hoysala Nagara,900,100000,13000,Semi Furnished,3-5 years ,Family
3,Horamavu,1180,90000,15000,Semi Furnished,5-10 years ,Family
3,Basaveshwar Nagar,1400,300000,30000,Full Furnished,>10 years ,Family
2,Ramaswamipalya,800,100000,13500,Full Furnished,3-5 years ,All
1,Chikkakannalli,550,60000,19000,Semi Furnished,3-5 years ,Family
1,Chikkakannalli,550,60000,19000,Semi Furnished,3-5 years ,Family
2,Btm Layout,1170,100000,28000,Semi Furnished,>10 years ,Family
1,Parappana Agrahara,589,100000,16000,Semi Furnished,1-3 years ,All
2,Basavanagara,930,100000,16000,UnFurnished,>10 years ,All
3,Nikoo Homes,1850,150000,30000,Semi Furnished,1-3 years ,Bachelors
2,Doddanekkundi,1200,100000,18000,Semi Furnished,5-10 years ,Family
2,Aavalahalli,1200,40000,10000,Semi Furnished,1-3 years ,All
1,Whitefield,690,50000,23000,Full Furnished,Newly Constructed,All
2,Lic Colony,600,150000,18000,Semi Furnished,>10 years ,All
2,Doddanekundi,1100,100000,22000,Semi Furnished,5-10 years ,All
2,Bommenahalli,1170,120000,22000,Semi Furnished,Newly Constructed,All
3,Whitefield,1300,50000,17000,Full Furnished,1-3 years ,All
1,Hbr Layout,450,50000,13000,Semi Furnished,Newly Constructed,All
2,Whitefield,1190,150000,30000,Semi Furnished,1-3 years ,Family
3,Itpl,1237,200000,29500,Full Furnished,3-5 years ,All
2,Hormavu,800,40000,13500,Semi Furnished,Newly Constructed,All
3,Bellandur,1924,200000,42000,Semi Furnished,>10 years ,All
3,Doddenakundi,1565,200000,31000,Semi Furnished,>10 years ,Family
2,Kasavanahalli,1200,125000,21000,Semi Furnished,5-10 years ,Family
2,Ramamurthy Nagar,800,50000,10000,Semi Furnished,1-3 years ,All
3,Hennur Gardens,1320,156000,25000,Semi Furnished,3-5 years ,Family
2,Btm 2nd Stage,1200,150000,28500,Semi Furnished,3-5 years ,Family
2,Doddakannelli,1030,150000,20000,Semi Furnished,1-3 years ,Family
2,Munnekollal,1090,150000,25000,Semi Furnished,3-5 years ,All
3,Munnekollal,1200,125000,24000,Semi Furnished,>10 years ,All
3,J. P. Nagar,1305,200000,20000,Semi Furnished,Newly Constructed,Family
1,Whitefield Near Ksvk School,700,50000,9500,Semi Furnished,3-5 years ,All
3,Singasandra,1341,100000,25000,Semi Furnished,1-3 years ,Family
2,Volagerekallahalli,1144,100000,12000,Semi Furnished,3-5 years ,Family
2,Munnekollal,950,60000,16500,Semi Furnished,3-5 years ,All
2,Raghuvanahalli,1205,150000,19000,Semi Furnished,3-5 years ,Bachelors
2,Munnekolala,1250,100000,16500,Semi Furnished,3-5 years ,Family
2,Whitefield,1155,60000,20000,Semi Furnished,3-5 years ,Family
2,Koramangala,900,150000,25000,Semi Furnished,>10 years ,All
3,Gottigere,1200,120000,13500,Semi Furnished,3-5 years ,Family
2,Mallasandra,1090,100000,18000,Semi Furnished,Newly Constructed,All
2,Hsr Layout,800,40000,19000,Semi Furnished,Newly Constructed,All
2,New Tippasandra,1200,150000,28000,Semi Furnished,5-10 years ,All
2,Electronic City,1120,100000,15000,Semi Furnished,5-10 years ,All
3,Panathur,1500,150000,30000,Full Furnished,3-5 years ,All
2,Nagarbhavi,600,75000,8500,UnFurnished,3-5 years ,All
3,Electronic City,1450,250000,30500,Full Furnished,Newly Constructed,All
2,Thanisandra,1210,150000,20000,Semi Furnished,Newly Constructed,All
2,Near Btm Layout,1235,150000,28000,Full Furnished,>10 years ,Family
4,Rt Nagar,1650,350000,35000,Full Furnished,3-5 years ,Family
2,Btm Layout 1,1000,75000,23900,Full Furnished,5-10 years ,All
2,Whitefield,1134,100000,24000,Semi Furnished,>10 years ,Family
2,Varthur,1216,150000,25000,Semi Furnished,1-3 years ,All
2,,600,80000,15000,Semi Furnished,5-10 years ,All
2,Whitefield,1380,150000,22500,Semi Furnished,5-10 years ,All
2,Whitefield,1380,150000,22500,Semi Furnished,5-10 years ,All
3,Chikkabidarakallu,1500,100000,22700,Semi Furnished,Newly Constructed,Family
2,Marathahalli,1100,60000,15900,UnFurnished,3-5 years ,All
3,Whitefield,1472,192000,32000,Full Furnished,3-5 years ,All
3,Bellandur,2117,150000,40000,Semi Furnished,>10 years ,All
3,Sudhama Nagar,2100,400000,36000,Semi Furnished,>10 years ,All
2,Doddanekkundi,850,150000,25000,Full Furnished,Newly Constructed,All
2,Btm 2nd Stage,950,100000,20000,Semi Furnished,3-5 years ,All
3,India,1350,150000,25500,Semi Furnished,>10 years ,All
3,Rustam Bagh Layout,1600,200000,35000,Semi Furnished,>10 years ,All
2,Horamavu,1280,120000,21000,Semi Furnished,3-5 years ,Family
3,Ramamurthy Nagar,990,100000,18000,Full Furnished,>10 years ,Family
2,Whitefield,1083,100000,20000,Semi Furnished,3-5 years ,All
2,C V Raman Nagar,1051,70000,22000,Semi Furnished,>10 years ,Family
2,Hulimavu,972,150000,17000,Semi Furnished,1-3 years ,Family
2,Whitefield,1255,100000,21000,Semi Furnished,1-3 years ,Family
1,Banashankari,950,100000,12500,Semi Furnished,5-10 years ,All
3,Kodihalli,1308,150000,33000,Semi Furnished,>10 years ,Family
1,Kaggadasapura,300,80000,9000,UnFurnished,5-10 years ,Family
2,Whitefield,1170,150000,25500,Semi Furnished,1-3 years ,Family
2,Malleshwaram 18th Cross,1200,200000,19000,Semi Furnished,>10 years ,All
2,Munnekollal,1200,100000,19900,Full Furnished,3-5 years ,All
3,Kaikondrahalli,1460,200000,34000,Semi Furnished,3-5 years ,Family
2,Kasavanahalli,1000,90000,16000,Semi Furnished,1-3 years ,Family
4,Whitefield,2300,300000,52000,Semi Furnished,5-10 years ,Family
2,Kaikondrahalli,1321,150000,26000,Semi Furnished,3-5 years ,Family
3,Sobha Avenue,1534,125000,23000,Semi Furnished,Newly Constructed,Family
2,Yelahanka,1155,100000,16000,Semi Furnished,5-10 years ,All
3,Btm Layout 1,1703,150000,35000,Semi Furnished,5-10 years ,Family
3,Adugodi,1600,150000,31000,Semi Furnished,3-5 years ,All
2,Doddakannelli,1180,100000,30000,Semi Furnished,1-3 years ,Family
1,Munnekollal,500,50000,12500,Semi Furnished,Newly Constructed,All
2,Hsr Layout,1275,150000,24000,Semi Furnished,1-3 years ,All
2,Brookefield,1286,150000,26000,Semi Furnished,>10 years ,Family
3,Kaggadasapura,2000,100000,29000,Semi Furnished,>10 years ,All
2,Balagere,1007,150000,25000,Semi Furnished,Newly Constructed,All
3,Yelahanka,1800,180000,24000,Semi Furnished,1-3 years ,All
3,Akshayanagar,1830,200000,29000,Semi Furnished,1-3 years ,All
2,J. P. Nagar,1100,85000,20000,Semi Furnished,Newly Constructed,Family
4,Nagapura,2000,600000,60000,Semi Furnished,>10 years ,Family
4,Nagapura,2000,600000,60000,Semi Furnished,>10 years ,Family
2,Malleshwaram West,950,200000,22000,Semi Furnished,>10 years ,All
3,Vijaya Nagar,1000,100000,16000,Semi Furnished,3-5 years ,All
1,Btm Layout,800,50000,14000,Semi Furnished,>10 years ,Bachelors
3,Kumaraswamy Layout,1600,200000,23000,Semi Furnished,>10 years ,Family
2,Hsr Layout,550,50000,14000,Semi Furnished,5-10 years ,All
1,K.p Puram,400,30000,5000,Semi Furnished,1-3 years ,Bachelors
1,Whitefield,450,40000,9000,Semi Furnished,Newly Constructed,All
2,Doddakannelli,1314,100000,20000,Full Furnished,1-3 years ,All
2,Sompura Gate,1222,300000,22000,Full Furnished,Newly Constructed,Family
2,Gottigere,700,100000,13000,Semi Furnished,3-5 years ,Family
2,Kristu Jayanti College,1100,100000,17000,Full Furnished,Newly Constructed,Family
3,Kaikondrahalli,1700,200000,28000,Semi Furnished,5-10 years ,All
2,Belathur,1024,125000,19500,Semi Furnished,3-5 years ,Family
2,Kasturi Nagar,1270,190000,19000,Semi Furnished,3-5 years ,All
2,Kodihalli,1155,130000,22000,Semi Furnished,5-10 years ,Family
3,Munnekollal,1550,150000,25000,Semi Furnished,3-5 years ,All
4,Sanjeevini Nagar,2518,200000,41000,Semi Furnished,>10 years ,Family
3,Sanjaynagar,1800,200000,38000,Semi Furnished,5-10 years ,Family
2,Gottigere,1000,100000,12000,Semi Furnished,3-5 years ,Family
2,Gottigere,1000,100000,12000,Semi Furnished,3-5 years ,Family
1,Kasturi Nagar,450,50000,9500,Semi Furnished,3-5 years ,All
2,Btm Layout 1,700,100000,17000,Semi Furnished,1-3 years ,All
2,Jayanagar,1300,200000,25000,Semi Furnished,>10 years ,All
2,Rt Nagar,600,100000,13000,UnFurnished,1-3 years ,All
2,Hulimavu,900,80000,14000,Semi Furnished,1-3 years ,All
1,Hsr Layout,550,50000,16000,Semi Furnished,1-3 years ,All
3,Mahadevapura,2363,400000,50000,Semi Furnished,1-3 years ,All
2,Kasavanahalli,1045,100000,19000,Semi Furnished,>10 years ,Family
1,Basavanagudi,350,95000,9500,UnFurnished,Newly Constructed,All
2,Banaswadi,1000,100000,23000,Semi Furnished,Newly Constructed,All
2,Hoodi,1280,250000,28000,Full Furnished,3-5 years ,Family
2,Banshankari,600,90000,9000,Semi Furnished,Newly Constructed,Family
3,Marathahalli,1450,100000,20000,Semi Furnished,>10 years ,All
1,Thanisandra,700,55000,12500,Semi Furnished,1-3 years ,All
3,Jayanagar,1100,300000,28000,Semi Furnished,>10 years ,All
2,Marathahalli,850,110000,19000,Semi Furnished,>10 years ,All
2,Kadubeesanahalli,1025,100000,20000,UnFurnished,>10 years ,All
2,Kadubeesanahalli,1480,160000,24000,Semi Furnished,1-3 years ,All
3,Padmanabhanagar,1070,100000,15000,Semi Furnished,5-10 years ,Family
2,Hennur Gardens,1092,250000,26500,Semi Furnished,5-10 years ,Family
2,Hosa Road,1115,124500,14500,Semi Furnished,Newly Constructed,All
3,Munnekollal,1279,100000,25000,Semi Furnished,Newly Constructed,All
2,Vidyaranyapura,885,100000,13000,Semi Furnished,>10 years ,All
2,Murgesh Pallya,1130,150000,27000,Full Furnished,5-10 years ,Family
1,Sultanpalya,650,75000,11500,Semi Furnished,5-10 years ,All
1,Munnekollal,500,40000,10000,Semi Furnished,3-5 years ,All
2,Mahadevapura,1089,150000,20000,Semi Furnished,5-10 years ,All
2,Mahadevapura,1145,50000,20000,Semi Furnished,3-5 years ,All
2,Yeswanthpur,1195,250000,29000,Semi Furnished,5-10 years ,Family
1,Ramamurthy Nagar,600,50000,10000,Semi Furnished,1-3 years ,Family
3,Cunningham Road,1700,250000,42000,Full Furnished,>10 years ,All
2,Sinthan Nagar,1020,100000,17500,Semi Furnished,5-10 years ,All
2,Yelahanka,1290,150000,24000,Semi Furnished,1-3 years ,Family
3,Kadubeesanahalli,1820,300000,45000,Semi Furnished,3-5 years ,All
2,Doddenakundi,1315,150000,28000,Semi Furnished,5-10 years ,Family
4,Kaggadasapura,3500,1000000,100000,Semi Furnished,>10 years ,All
1,Parappana Agrahara,340,50000,7500,Semi Furnished,Newly Constructed,Family
3,Jayanagar,2100,400000,40000,Semi Furnished,>10 years ,Family
3,Bellandur,1884,200000,32000,UnFurnished,>10 years ,All
3,Horamavu,1380,200000,20000,Semi Furnished,1-3 years ,Family
3,Singasandra,1624,75000,20000,Semi Furnished,5-10 years ,Family
2,C V Raman Nagar,1050,100000,17500,Semi Furnished,3-5 years ,All
3,Rr Nagar,1600,250000,30000,Semi Furnished,5-10 years ,Family
3,Hsr Layout,1000,100000,20000,Semi Furnished,5-10 years ,Family
1,Maruthi Nagar,600,40000,8500,Semi Furnished,>10 years ,All
2,Bilekahalli,1300,275000,28000,Semi Furnished,>10 years ,All
2,Krishnarajapura,1100,150000,16000,Semi Furnished,1-3 years ,Family
2,Rk Hegde Nagar,1274,150000,15000,Semi Furnished,5-10 years ,All
3,Electronic City,2070,125000,19500,Semi Furnished,5-10 years ,Family
3,Balagere,1680,150000,24000,Semi Furnished,Newly Constructed,Family
2,Manipal County,1440,100000,12000,UnFurnished,5-10 years ,Family
3,Whitefield,1935,250000,41000,Semi Furnished,1-3 years ,Family
2,Kodihalli,1128,300000,30000,Full Furnished,5-10 years ,All
2,Yelahanka Agrahara,1200,150000,18500,Semi Furnished,1-3 years ,Family
1,Jayanagar,300,100000,12000,Semi Furnished,Newly Constructed,Bachelors
3,Hsr Layout,1646,250000,30000,Semi Furnished,>10 years ,All
2,Vidyaranyapura,1381,180000,19000,UnFurnished,3-5 years ,Family
1,C V Raman Nagar,250,30000,6500,UnFurnished,3-5 years ,Bachelors
2,Babusabpalya,600,100000,14000,UnFurnished,1-3 years ,All
2,Babusabpalya,600,100000,14000,UnFurnished,1-3 years ,All
3,Basavanna Nagar,1400,120000,20000,Semi Furnished,>10 years ,All
2,Chikkagubbi,1195,200000,25000,Semi Furnished,Newly Constructed,Family
2,Banashankari,1200,150000,17000,Semi Furnished,>10 years ,Family
3,Ramamurthy Nagar,1600,100000,20000,Semi Furnished,3-5 years ,All
3,Sri Amethyst Apartments,1860,200000,23500,Semi Furnished,3-5 years ,Family
2,Kalena Agrahara,1000,80000,12500,Semi Furnished,3-5 years ,All
3,Vasantha Vallabha Nagar,1200,150000,15000,Semi Furnished,3-5 years ,All
4,Rr Nagar,2500,300000,29000,Semi Furnished,Newly Constructed,All
2,Lottegollahalli,1250,200000,22000,Semi Furnished,1-3 years ,Family
4,Koramangala,2200,150000,50000,Semi Furnished,5-10 years ,All
3,Manyata Tech Park - Back Gate 5,1616,200000,27000,Semi Furnished,Newly Constructed,All
3,Rr Nagar,1316,150000,15000,Semi Furnished,5-10 years ,Family
1,Bommanahalli,600,50000,9000,Semi Furnished,Newly Constructed,Family
2,Jp Nagar,800,80000,13500,Semi Furnished,3-5 years ,Family
2,Electronic City,894,100000,13500,Semi Furnished,3-5 years ,All
3,,2000,200000,30000,Semi Furnished,3-5 years ,Family
2,Halanayakanahalli,1060,100000,20500,Semi Furnished,3-5 years ,Family
3,Mahadevapura,1463,215000,28000,Semi Furnished,5-10 years ,Family
2,Harlur,1500,125000,25000,Full Furnished,3-5 years ,All
2,Harlur,1500,125000,25000,Full Furnished,3-5 years ,All
1,Hsr Layout 5th Sector,500,24000,12000,Semi Furnished,1-3 years ,All
2,Binnipete,1475,250000,34000,Semi Furnished,5-10 years ,All
2,Ram Murthynagar,1000,75000,13000,Semi Furnished,1-3 years ,All
1,Kothanur,750,85000,8500,UnFurnished,3-5 years ,Family
3,Hosa Road,1450,100000,29000,Full Furnished,1-3 years ,All
1,Banashankari,800,100000,12000,Semi Furnished,3-5 years ,Family
2,Thanisandra,1283,200000,22000,Semi Furnished,5-10 years ,All
2,Horamavu,1200,75000,13000,Semi Furnished,>10 years ,All
1,Aecs Layout,265,35000,7500,Semi Furnished,Newly Constructed,All
2,Murgesh Palya,1600,100000,20000,Semi Furnished,5-10 years ,Bachelors
3,Hoodi,1710,150000,27000,Semi Furnished,3-5 years ,Family
3,J. P. Nagar,1600,200000,21000,Semi Furnished,>10 years ,Family
2,Hennur Gardens,700,50000,11000,Semi Furnished,5-10 years ,All
2,Varanasi,800,75000,12000,Semi Furnished,5-10 years ,Family
2,Bellandur,1250,100000,25500,Semi Furnished,5-10 years ,All
2,Kalena Agrahara,1325,200000,26000,Semi Furnished,5-10 years ,All
2,Subramanyapura,1350,100000,26000,Semi Furnished,Newly Constructed,Family
3,Bellandur,1247,100000,22000,Semi Furnished,>10 years ,All
1,Malleshwaram,515,150000,14000,Semi Furnished,1-3 years ,Family
1,Vimanapura,650,35000,8000,Semi Furnished,3-5 years ,All
2,Hsr Layout,800,100000,22000,Semi Furnished,1-3 years ,All
3,Whitefield,1418,50000,20000,Semi Furnished,3-5 years ,All
3,Somasundarapalya,1325,140000,18000,Semi Furnished,5-10 years ,Family
2,Brookefield,1085,150000,23000,Semi Furnished,Newly Constructed,All
4,Chambenahalli,3200,200000,65000,Full Furnished,1-3 years ,All
2,Vasanthapura,1200,75000,11000,Semi Furnished,3-5 years ,Family
2,Hebbal Kempapura,1211,150000,17500,Semi Furnished,3-5 years ,Family
2,Banashankari,1200,180000,18000,Semi Furnished,>10 years ,All
2,Whitefield,1270,150000,25000,Semi Furnished,1-3 years ,All
2,Bhoganhalli,1153,150000,26000,Full Furnished,1-3 years ,Family
3,Brookefield,1840,200000,35000,Semi Furnished,>10 years ,Family
2,Jayanagar 3rd Block,1174,260000,26000,Semi Furnished,>10 years ,Family
2,Kaggadasapura,1200,150000,19000,Semi Furnished,5-10 years ,Family
2,Kadugodi,1130,150000,16000,Semi Furnished,1-3 years ,Family
2,Marathahalli,1080,150000,20000,Semi Furnished,5-10 years ,Family
2,Basapura,1400,300000,25000,Semi Furnished,Newly Constructed,Family
2,Chikkalasandra,1050,160000,16000,Semi Furnished,5-10 years ,Family
1,Dodda Banaswadi,500,50000,10000,Semi Furnished,1-3 years ,All
1,Banashankari,550,80000,8000,Semi Furnished,Newly Constructed,All
2,Jp Nagar,1200,175000,21800,Semi Furnished,Newly Constructed,All
3,Cox Town,1750,350000,40000,Semi Furnished,1-3 years ,Family
2,Begur,1343,100000,16000,Semi Furnished,5-10 years ,Family
2,Halasuru,930,150000,18000,Semi Furnished,>10 years ,All
3,Hennur Gardens,1610,200000,23000,Semi Furnished,1-3 years ,Family
1,Shivaji Nagar,390,100000,10500,UnFurnished,Newly Constructed,Family
2,Munnekollal,750,70000,15000,Semi Furnished,5-10 years ,Family
2,Murugeshpalya,1000,100000,18000,Semi Furnished,>10 years ,Family
2,Kasavanahalli,953,100000,21500,Semi Furnished,5-10 years ,All
2,Sahakara Nagar,800,110000,16000,Semi Furnished,5-10 years ,All
3,Electronic City,1449,250000,26000,Semi Furnished,1-3 years ,Family
3,Hsr Layout,1563,100000,23000,Semi Furnished,5-10 years ,Family
3,Richmond Town,1700,300000,45000,Semi Furnished,>10 years ,Family
2,Nagarbhavi,1300,125000,18000,Semi Furnished,5-10 years ,All
3,Rk Hegde Nagar,1718,320000,32000,Semi Furnished,Newly Constructed,Family
2,Binnipete,1225,330000,33000,Semi Furnished,Newly Constructed,Family
2,Btm Layout 2nd Stage,1200,70000,18000,Semi Furnished,>10 years ,Bachelors
2,Whitefield,1235,140000,22000,Semi Furnished,1-3 years ,All
3,Electronic City,1802,81000,25000,Semi Furnished,Newly Constructed,Family
2,Kada Agrahara,1160,150000,18000,Semi Furnished,5-10 years ,All
2,Devarachikkana Halli,1100,100000,15500,Semi Furnished,3-5 years ,Family
1,New Tippasandra,600,100000,10000,Semi Furnished,5-10 years ,Family
2,Samudrikaa Enclave,900,140000,14000,Semi Furnished,1-3 years ,Family
2,Vijayanagar,1100,200000,21000,Semi Furnished,3-5 years ,Family
2,Kodihalli,1050,200000,28000,Semi Furnished,>10 years ,All
2,Krishnarajapura,960,80000,13500,Semi Furnished,5-10 years ,All
1,Rr Nagar,600,40000,8400,Semi Furnished,1-3 years ,All
2,Kadugodi,1500,100000,25000,Semi Furnished,Newly Constructed,All
2,Whitefield,1068,200000,25000,Semi Furnished,Newly Constructed,Family
3,Bellandur,1875,200000,48000,Semi Furnished,>10 years ,Family
3,Bellandur,1875,200000,48000,Semi Furnished,>10 years ,Family
2,Horamavu,1125,175000,17500,Semi Furnished,5-10 years ,Family
2,Hsr Layout,1200,70000,14000,Semi Furnished,5-10 years ,All
1,Jayamahal,200,100000,13500,Semi Furnished,>10 years ,All
2,Hsr Layout,500,75000,15000,Semi Furnished,3-5 years ,All
2,Ramamurthy Nagar,1100,50000,13000,Semi Furnished,3-5 years ,Family
2,Dooravani Nagar,1239,200000,28000,Full Furnished,1-3 years ,Family
2,Kadugodi,1075,80000,15000,Semi Furnished,5-10 years ,All
2,Electronic City,1235,100000,20000,Semi Furnished,3-5 years ,Family
3,Kalena Agrahara,3000,250000,35000,Semi Furnished,Newly Constructed,All
2,Whitefield,1271,200000,21000,Semi Furnished,3-5 years ,All
2,Shivaji Nagar,1125,150000,24000,Semi Furnished,>10 years ,All
3,Kasturi Nagar,1645,200000,40000,Semi Furnished,>10 years ,Family
2,Kaggadasapura,1150,80000,16000,Semi Furnished,1-3 years ,Family
2,K R Puram,900,80000,12500,Semi Furnished,Newly Constructed,All
2,Munnekollal,800,60000,12000,Semi Furnished,Newly Constructed,Family
2,Electronic City,550,35000,7000,Semi Furnished,>10 years ,All
3,Muneshwara Nagar,1350,100000,27000,Semi Furnished,5-10 years ,Family
2,Konanakunte,800,100000,9500,Semi Furnished,>10 years ,All
2,Koramangala,1172,300000,35000,Semi Furnished,>10 years ,Family
2,Rt Nagar,1010,120000,16000,Semi Furnished,3-5 years ,All
3,Kaval Bairasandra,1400,100000,18000,Semi Furnished,5-10 years ,Family
2,,600,120000,15000,Semi Furnished,1-3 years ,Family
3,Devinagar,1630,320000,40000,Semi Furnished,Newly Constructed,Family
2,Wind Flower,1200,150000,22000,Full Furnished,5-10 years ,All
3,Challaghatta,1809,200000,33000,Semi Furnished,5-10 years ,All
3,Btm 2nd Stage,1715,300000,38000,Semi Furnished,>10 years ,All
2,Singasandra,1175,80000,17000,Semi Furnished,Newly Constructed,Family
3,Bommenahalli Village,1330,150000,20000,Semi Furnished,Newly Constructed,All
2,Bellandur,1250,125000,23000,Semi Furnished,Newly Constructed,Family
2,Whitefield,1140,125000,20000,Semi Furnished,3-5 years ,All
